,"IC50, mM","CC50, mM",SI,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,qed,RingCount,NumAromaticRings,fr_benzene
"IC50, mM",1.0,0.5213461579994011,-0.05660380213427557,-0.1612178982736625,-0.21838734866488133,0.003349616727385013,-0.04810249420977696,-0.008158878068494496,-0.16707364121523172,0.09998963287305634,-0.15430486269334082,-0.011622994806136464,-0.10186751487328519
"CC50, mM",0.5213461579994011,1.0,-0.006817715012591527,-0.3064393112789141,-0.22535786627804777,-0.14558182717809906,-0.13347480108139875,-0.14830405549961978,-0.19004726805964925,0.10606454075776112,-0.2532734359390246,-0.17269086976833425,-0.2584332644131594
SI,-0.05660380213427557,-0.006817715012591527,1.0,-0.040156026098532416,-0.0746792746425866,0.03596691803183268,0.05030005631133882,-0.012464344968497241,0.049774708111737016,0.04066075018950697,-0.12444380028076026,-0.0880638496487012,-0.0783107702193011
MolWt,-0.1612178982736625,-0.3064393112789141,-0.040156026098532416,1.0,0.42017306429482343,0.5573362796888751,0.1967410199388895,0.6955777860719466,0.6965465055069662,-0.6786680945794898,0.6887244778453836,0.635157659620217,0.6307808484244397
MolLogP,-0.21838734866488133,-0.22535786627804777,-0.0746792746425866,0.42017306429482343,1.0,-0.4283455640616676,-0.5087086719985584,-0.2257651289455484,0.38486838027955533,-0.1856202024164356,0.4402664099931281,0.24831727881640556,0.3232400564987575
TPSA,0.003349616727385013,-0.14558182717809906,0.03596691803183268,0.5573362796888751,-0.4283455640616676,1.0,0.7457209346464847,0.8818908105814174,0.32130997717349324,-0.5222597700622391,0.23265316550818155,0.4418615698840542,0.3750504966356334
NumHDonors,-0.04810249420977696,-0.13347480108139875,0.05030005631133882,0.1967410199388895,-0.5087086719985584,0.7457209346464847,1.0,0.47291035904963996,0.10520754910272828,-0.22945220414573442,-0.10324100818415834,0.0599874693898743,0.10297390979252886
NumHAcceptors,-0.008158878068494496,-0.14830405549961978,-0.012464344968497241,0.6955777860719466,-0.2257651289455484,0.8818908105814174,0.47291035904963996,1.0,0.3984998824963982,-0.6009162742100427,0.44326954839223137,0.6199013857156894,0.4731851891581932
NumRotatableBonds,-0.16707364121523172,-0.19004726805964925,0.049774708111737016,0.6965465055069662,0.38486838027955533,0.32130997717349324,0.10520754910272828,0.3984998824963982,1.0,-0.5757992543509098,0.23354886180949605,0.23770963368012873,0.2418990880097399
qed,0.09998963287305634,0.10606454075776112,0.04066075018950697,-0.6786680945794898,-0.1856202024164356,-0.5222597700622391,-0.22945220414573442,-0.6009162742100427,-0.5757992543509098,1.0,-0.45305205279987226,-0.43330732351282597,-0.4096254437475214
RingCount,-0.15430486269334082,-0.2532734359390246,-0.12444380028076026,0.6887244778453836,0.4402664099931281,0.23265316550818155,-0.10324100818415834,0.44326954839223137,0.23354886180949605,-0.45305205279987226,1.0,0.5857461641943413,0.5458985713471138
NumAromaticRings,-0.011622994806136464,-0.17269086976833425,-0.0880638496487012,0.635157659620217,0.24831727881640556,0.4418615698840542,0.0599874693898743,0.6199013857156894,0.23770963368012873,-0.43330732351282597,0.5857461641943413,1.0,0.8672439990148713
fr_benzene,-0.10186751487328519,-0.2584332644131594,-0.0783107702193011,0.6307808484244397,0.3232400564987575,0.3750504966356334,0.10297390979252886,0.4731851891581932,0.2418990880097399,-0.4096254437475214,0.5458985713471138,0.8672439990148713,1.0
